operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,2,1.05359,0.003593,0.00302,1.5197,9.49133e+09,114.277,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,2,1.83031,0,0.012395,2.5523,5.46355e+09,65.7333,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,2,1.1512,0,0.004478,1.5419,8.68661e+09,138.986,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,3,1.12807,0.00375,0.0025,1.5153,8.86468e+09,35.4587,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,3,1.1712,0.003541,0.003125,1.6311,8.53827e+09,102.802,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,3,1.91562,0,0.012291,2.6601,5.22023e+09,62.8059,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,3,1.17474,0,0.004999,1.5468,8.51253e+09,136.201,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,4,1.10792,0.003177,0.002552,1.5133,9.02596e+09,36.1038,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,4,1.13651,0.003958,0.00276,1.5919,8.79887e+09,105.94,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,4,1.92708,0,0.015052,2.7056,5.18919e+09,62.4324,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,4,1.24276,0,0.004166,1.7932,8.04661e+09,128.746,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,5,1.12677,0.003541,0.002395,1.6324,8.87493e+09,35.4997,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,5,1.04651,0.003697,0.002864,1.5098,9.55557e+09,115.05,1
