operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,3,1.31234,0.00677,0.002812,1.8011,7.61996e+09,30.4798,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,3,1.34604,0.01776,0.002552,1.8126,7.42919e+09,89.4485,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,3,1.99083,0,0.010312,2.6189,5.02302e+09,60.4332,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,3,1.17542,0,0.00453,1.7503,8.50763e+09,136.122,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,4,1.20953,0.003177,0.002812,1.6005,8.26767e+09,33.0707,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,4,1.11328,0.003541,0.00302,1.4778,8.98246e+09,108.15,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,4,2.03635,0,0.011041,2.6737,4.91074e+09,59.0823,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,4,1.41766,0,0.005051,1.9433,7.0539e+09,112.862,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,5,0.80526,0.004583,0.002864,1.422,1.24183e+10,49.6734,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,5,1.10088,0.003802,0.002395,1.5943,9.0836e+09,109.368,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,5,2.04963,0,0.011041,2.8023,4.87892e+09,58.6995,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,5,1.13557,0,0.004895,1.6213,8.80613e+09,140.898,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,6,1.12042,0.003593,0.002864,1.5938,8.92526e+09,35.701,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,6,1.08734,0.002864,0.002708,1.5975,9.19673e+09,110.73,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,6,1.91114,0,0.01026,2.7181,5.23247e+09,62.9531,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,6,1.21036,0,0.004374,1.6805,8.26198e+09,132.192,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,7,1.19083,0.003385,0.002812,1.6591,8.39748e+09,33.5899,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,7,1.08432,0.003281,0.002864,1.7138,9.22235e+09,111.038,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,7,1.83078,0,0.01177,2.493,5.46215e+09,65.7165,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,7,1.12042,0,0.00427,1.4956,8.92526e+09,142.804,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,8,0.772916,0.003333,0.0025,1.1826,1.2938e+10,51.7521,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,8,1.10484,0.003281,0.002864,1.5437,9.05106e+09,108.976,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,8,2.08406,0,0.012031,2.7009,4.79832e+09,57.7298,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,8,1.15828,0,0.004166,1.5942,8.63348e+09,138.136,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,9,1.11224,0.003437,0.0025,1.5285,8.99087e+09,35.9635,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,9,1.07844,0.003385,0.002916,1.455,9.27268e+09,111.644,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,9,1.93198,0,0.010885,2.638,5.17604e+09,62.2742,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,9,1.12573,0,0.004479,1.5421,8.88313e+09,142.13,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,100000,1.11609,0.003437,0.002656,1.5846,8.95983e+09,35.8393,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,100000,1.52625,0.003541,0.002864,2.2402,6.55201e+09,79.9359,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,100000,1.95208,0,0.010781,2.7881,5.12273e+09,61.6329,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,100000,1.90417,0,0.004582,2.4071,5.25164e+09,84.0263,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,0,0.749895,0.003229,0.002552,1.5066,1.33352e+10,53.3408,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,0,1.63224,0.004583,0.002916,2.3312,6.12655e+09,74.7453,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,0,1.94239,0,0.011458,2.6091,5.14828e+09,61.9403,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,0,2.05833,0,0.00828,2.5296,4.8583e+09,77.7328,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,1,0.798072,0.003437,0.002916,1.2613,1.25302e+10,50.1208,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,1,1.59016,0.003437,0.00302,2.0975,6.28869e+09,76.7234,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,1,1.9538,0,0.021666,2.7306,5.11823e+09,61.5787,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,1,2.05828,0,0.004478,2.5224,4.85842e+09,77.7348,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,2,0.755781,0.002864,0.003125,1.5605,1.32313e+10,52.9254,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,2,1.51489,0.004791,0.002916,2.1244,6.60112e+09,80.5351,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,2,2.00177,0,0.011041,2.6274,4.99558e+09,60.1031,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,2,1.92693,0,0.009739,2.5994,5.18961e+09,83.0338,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,3,0.762864,0.003645,0.002395,1.2183,1.31085e+10,52.434,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,3,1.5113,0.004427,0.002916,2.0417,6.61681e+09,80.7265,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,3,1.97734,0,0.010885,2.6123,5.05729e+09,60.8455,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,3,1.89005,0,0.004687,2.5201,5.29086e+09,84.6538,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,4,0.829114,0.003958,0.0025,1.2554,1.20611e+10,48.2443,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,4,1.55406,0.003645,0.002968,2.2962,6.43475e+09,78.5053,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,4,2.02516,0,0.010208,2.7754,4.93789e+09,59.409,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,4,1.90271,0,0.004478,2.7798,5.25567e+09,84.0907,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,5,0.760156,0.003333,0.002395,1.0923,1.31552e+10,52.6208,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,5,1.59542,0.00427,0.002916,2.3403,6.26796e+09,76.4704,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,5,1.94266,0,0.013385,2.5364,5.14759e+09,61.932,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,5,1.96224,0,0.013176,2.5656,5.09622e+09,81.5395,1
