operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,2,2.00125,0,0.005468,2.3056,4.99688e+09,79.9501,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,3,0.891718,0.011927,0.003541,1.2829,1.12143e+10,44.8572,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,3,1.60364,0.00427,0.003593,2.0314,6.23579e+09,76.078,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,3,1.98979,0,0.012812,2.5686,5.02565e+09,60.4649,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,3,2.07776,0,0.00578,2.6439,4.81288e+09,77.006,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,4,0.927187,0.005364,0.003489,1.3121,1.07853e+10,43.1412,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,4,1.55198,0.004218,0.002968,1.9323,6.44339e+09,78.6107,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,4,2.07276,0,0.012812,2.7612,4.82449e+09,58.0446,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,4,1.92807,0,0.00677,2.5724,5.18653e+09,82.9845,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,5,0.835572,0.003645,0.003177,1.2964,1.19678e+10,47.8714,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,5,1.61161,0.004218,0.003385,2.0069,6.20496e+09,75.7019,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,5,1.9526,0,0.013333,2.6779,5.12137e+09,61.6164,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,5,1.89776,0,0.00526,2.3603,5.26937e+09,84.31,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,6,0.806875,0.003802,0.003906,1.2442,1.23935e+10,49.574,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,6,1.51016,0.003697,0.003333,1.8722,6.62183e+09,80.7878,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,6,2.08,0,0.012604,2.7426,4.80769e+09,57.8425,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,6,1.89547,0,0.005364,2.4233,5.27574e+09,84.4119,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,7,0.811302,0.00427,0.003333,1.1731,1.23259e+10,49.3035,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,7,1.58271,0.003854,0.003177,2.257,6.31828e+09,77.0844,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,7,2.0087,0,0.010937,2.6242,4.97835e+09,59.8958,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,7,1.97719,0,0.004843,2.5166,5.05769e+09,80.9231,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,8,0.870937,0.005156,0.003645,1.3536,1.14819e+10,45.9275,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,8,1.62604,0.004791,0.00427,2.1834,6.14991e+09,75.0302,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,8,1.99068,0,0.010677,2.6889,5.02342e+09,60.438,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,8,1.98526,0,0.005415,2.4568,5.03712e+09,80.594,1
